All Analogs,latitude,longitude,type,pair2,warming,,,,,
"Aberdeen, MD",39.5096,-76.1641,analog,d2,low,,,,,
Albuquerque,35.0844,-106.6504,target,a1,target,,,,,
Albuquerque,35.0844,-106.6504,target,a2,target,,,,,
Aurora,39.7294,-104.8319,target,b2,target,,,,,
Aurora,39.7294,-104.8319,target,b1,target,,,,,
Austin,30.2672,-97.7431,target,c2,target,,,,,
Austin,30.2672,-97.7431,target,c1,target,,,,,
"Avenal, CA",36.0041,-120.129,analog,aq2,low,,,,,`
"Bastrop, LA",32.7562,-91.8723,analog,p2,low,,,,,
"Bastrop, LA",32.7562,-91.8723,analog,u1,high,,,,,
"Borger, TX",35.6678,-101.3974,analog,b1,high,,,,,
"Borger, TX",35.6678,-101.3974,analog,l1,high,,,,,
Boston,42.3601,-71.0589,target,d1,target,,,,,
Boston,42.3601,-71.0589,target,d2,target,,,,,
"Buckeye, AZ",33.3703,-112.5838,analog,o2,low,,,,,
"Buckeye, AZ",33.3703,-112.5838,analog,ad2,low,,,,,
"Buckeye, AZ",33.3703,-112.5838,analog,as2,low,,,,,
"Bullhead City, AZ",35.1359,-114.5286,analog,s1,high,,,,,
"Cape Coral, FL",26.5629,-81.9495,analog,ac2,low,,,,,
Charlotte,35.2271,-80.8431,target,e1,target,,,,,
Charlotte,35.2271,-80.8431,target,e2,target,,,,,
"Chester, PA",39.8496,-75.3557,analog,i2,low,,,,,
Chicago,41.8781,-87.6298,target,f2,target,,,,,
Chicago,41.8781,-87.6298,target,f1,target,,,,,
Chula Vista,32.6401,-117.0842,target,g2,target,,,,,
Chula Vista,32.6401,-117.0842,target,g1,target,,,,,
Cincinnati,39.1031,-84.512,target,h2,target,,,,,
Cincinnati,39.1031,-84.512,target,h1,target,,,,,
"Ciudad Mante, Mexico",22.7422,-98.9747,analog,ac1,high,,,,,
"Ciudad Mante, Mexico",22.7422,-98.9747,analog,ap1,high,,,,,
"Ciudad Mante, Mexico",22.7422,-98.9747,analog,ar1,high,,,,,
"Clarksdale, MS",34.2001,-90.5709,analog,h1,high,,,,,
Cleveland,41.4993,-81.6944,target,i2,target,,,,,
Cleveland,41.4993,-81.6944,target,i1,target,,,,,
Colorado Springs,38.8339,-104.8214,target,j2,target,,,,,
Colorado Springs,38.8339,-104.8214,target,j1,target,,,,,
Columbus,39.9612,-82.9988,target,k2,target,,,,,
Columbus,39.9612,-82.9988,target,k1,target,,,,,
Denver,39.7392,-104.9903,target,l2,target,,,,,
Denver,39.7392,-104.9903,target,l1,target,,,,,
"Dumas, TX",35.8654,-101.9732,analog,b2,low,,,,,
"Dumas, TX",35.8654,-101.9732,analog,l2,low,,,,,
Durham,35.994,-78.8986,target,m2,target,,,,,
Durham,35.994,-78.8986,target,m1,target,,,,,
El Paso,31.7619,-106.485,target,n2,target,,,,,
El Paso,31.7619,-106.485,target,n1,target,,,,,
"Enid, OK",36.3956,-97.8784,analog,r2,low,,,,,
"Enid, OK",36.3956,-97.8784,analog,ab1,high,,,,,
"Enid, OK",36.3956,-97.8784,analog,au2,low,,,,,
"Esperanza, Mexico",27.58,-109.9298,analog,o1,high,,,,,
"Esperanza, Mexico",27.58,-109.9298,analog,ad1,high,,,,,
"Evansville, IN",37.9716,-87.5711,analog,k2,low,,,,,
"Evansville, IN",37.9716,-87.5711,analog,q2,low,,,,,
"Frisco, TX",33.1507,-96.8236,analog,z2,low,,,,,
"Gainsville, TX",33.6259,-97.1333,analog,r1,high,,,,,
Glendale,33.5387,-112.186,target,o2,target,,,,,
Glendale,33.5387,-112.186,target,o1,target,,,,,
Greensboro,36.0726,-79.792,target,p2,target,,,,,
Greensboro,36.0726,-79.792,target,p1,target,,,,,
"Guadaloupe Victoria, Mexico",32.2879,-115.1046,analog,aq1,high,,,,,
"Haysville, KS",37.5645,-97.3523,analog,ab2,low,,,,,
"Hermosillo, Mexico",29.073,-110.9559,analog,as1,high,,,,,
"Huntsville, TX",30.7235,-95.5508,analog,at1,high,,,,,
"Hurricane, UT",37.1753,-113.2899,analog,a2,low,,,,,
"Hurricane, UT",37.1753,-113.2899,analog,ag1,high,,,,,
Indianapolis,39.7684,-86.1481,target,q1,target,,,,,
Indianapolis,39.7684,-86.1481,target,q1,target,,,,,
"Iona, FL",26.5204,-81.964,analog,ap2,low,,,,,
"Iona, FL",26.5204,-81.964,analog,ar2,low,,,,,
"Iowa City, IA",41.6611,-91.5302,analog,x2,low,,,,,
